,X,Y,Z,H
0,0,0,100,739.21
2,0,2,98,742.66
4,0,4,96,746.2
6,0,6,94,749.81
8,0,8,92,753.5
10,0,10,90,757.28
12,0,12,88,761.14
14,0,14,86,765.09
16,0,16,84,769.13
18,0,18,82,773.27
20,0,20,80,777.51
22,0,22,78,781.85
24,0,24,76,786.3
26,0,26,74,790.85
28,0,28,72,795.53
30,0,30,70,800.32
32,0,32,68,805.23
34,0,34,66,810.27
36,0,36,64,815.44
38,0,38,62,820.75
40,0,40,60,826.21
42,0,42,58,831.81
44,0,44,56,837.57
46,0,46,54,843.49
48,0,48,52,849.57
50,0,50,50,855.83
52,0,52,48,862.28
54,0,54,46,868.91
56,0,56,44,875.74
58,0,58,42,882.78
60,0,60,40,890.03
62,0,62,38,897.51
64,0,64,36,905.22
66,0,66,34,913.19
68,0,68,32,921.4
70,0,70,30,929.89
72,0,72,28,938.66
74,0,74,26,947.73
76,0,76,24,957.11
78,0,78,22,966.81
80,0,80,20,976.85
82,0,82,18,987.26
84,0,84,16,998.04
86,0,86,14,1009.22
88,0,88,12,1020.82
90,0,90,10,1032.86
92,0,92,8,1045.37
94,0,94,6,1058.37
96,0,96,4,1071.88
98,0,98,2,1085.94
100,0,100,0,1100.58
201,2,0,98,731.63
203,2,2,96,735.02
205,2,4,94,738.48
207,2,6,92,742.02
209,2,8,90,745.64
211,2,10,88,749.34
213,2,12,86,753.13
215,2,14,84,757
217,2,16,82,760.97
219,2,18,80,765.03
221,2,20,78,769.18
223,2,22,76,773.44
225,2,24,74,777.8
227,2,26,72,782.27
229,2,28,70,786.86
231,2,30,68,791.56
233,2,32,66,796.38
235,2,34,64,801.33
237,2,36,62,806.41
239,2,38,60,811.63
241,2,40,58,816.98
243,2,42,56,822.49
245,2,44,54,828.14
247,2,46,52,833.96
249,2,48,50,839.94
251,2,50,48,846.1
253,2,52,46,852.44
255,2,54,44,858.96
257,2,56,42,865.68
259,2,58,40,872.61
261,2,60,38,879.75
263,2,62,36,887.11
265,2,64,34,894.71
267,2,66,32,902.55
269,2,68,30,910.64
271,2,70,28,919.01
273,2,72,26,927.65
275,2,74,24,936.59
277,2,76,22,945.84
279,2,78,20,955.42
281,2,80,18,965.33
283,2,82,16,975.6
285,2,84,14,986.25
287,2,86,12,997.3
289,2,88,10,1008.76
291,2,90,8,1020.67
293,2,92,6,1033.03
295,2,94,4,1045.89
297,2,96,2,1059.27
299,2,98,0,1073.19
398,4,0,96,724.09
400,4,2,94,727.4
402,4,4,92,730.8
404,4,6,90,734.26
406,4,8,88,737.81
408,4,10,86,741.43
410,4,12,84,745.14
412,4,14,82,748.94
414,4,16,80,752.82
416,4,18,78,756.8
418,4,20,76,760.88
420,4,22,74,765.05
422,4,24,72,769.33
424,4,26,70,773.71
426,4,28,68,778.21
428,4,30,66,782.82
430,4,32,64,787.55
432,4,34,62,792.41
434,4,36,60,797.39
436,4,38,58,802.51
438,4,40,56,807.77
440,4,42,54,813.18
442,4,44,52,818.73
444,4,46,50,824.45
446,4,48,48,830.32
448,4,50,46,836.37
450,4,52,44,842.6
452,4,54,42,849.02
454,4,56,40,855.62
456,4,58,38,862.44
458,4,60,36,869.46
460,4,62,34,876.7
462,4,64,32,884.18
464,4,66,30,891.9
466,4,68,28,899.87
468,4,70,26,908.11
470,4,72,24,916.63
472,4,74,22,925.44
474,4,76,20,934.56
476,4,78,18,944
478,4,80,16,953.78
480,4,82,14,963.92
482,4,84,12,974.43
484,4,86,10,985.34
486,4,88,8,996.66
488,4,90,6,1008.43
490,4,92,4,1020.65
492,4,94,2,1033.37
494,4,96,0,1046.61
591,6,0,94,716.57
593,6,2,92,719.82
595,6,4,90,723.14
597,6,6,88,726.53
599,6,8,86,730
601,6,10,84,733.55
603,6,12,82,737.18
605,6,14,80,740.9
607,6,16,78,744.7
609,6,18,76,748.6
611,6,20,74,752.59
613,6,22,72,756.68
615,6,24,70,760.88
617,6,26,68,765.17
619,6,28,66,769.58
621,6,30,64,774.1
623,6,32,62,778.74
625,6,34,60,783.5
627,6,36,58,788.39
629,6,38,56,793.41
631,6,40,54,798.57
633,6,42,52,803.88
635,6,44,50,809.33
637,6,46,48,814.94
639,6,48,46,820.71
641,6,50,44,826.65
643,6,52,42,832.77
645,6,54,40,839.07
647,6,56,38,845.57
649,6,58,36,852.26
651,6,60,34,859.17
653,6,62,32,866.29
655,6,64,30,873.65
657,6,66,28,881.24
659,6,68,26,889.09
661,6,70,24,897.2
663,6,72,22,905.59
665,6,74,20,914.27
667,6,76,18,923.26
669,6,78,16,932.56
671,6,80,14,942.21
673,6,82,12,952.21
675,6,84,10,962.58
677,6,86,8,973.35
679,6,88,6,984.53
681,6,90,4,996.15
683,6,92,2,1008.23
685,6,94,0,1020.8
780,8,0,92,709.08
782,8,2,90,712.26
784,8,4,88,715.5
786,8,6,86,718.82
788,8,8,84,722.22
790,8,10,82,725.69
792,8,12,80,729.25
794,8,14,78,732.89
796,8,16,76,736.61
798,8,18,74,740.43
800,8,20,72,744.33
802,8,22,70,748.34
804,8,24,68,752.44
806,8,26,66,756.65
808,8,28,64,760.97
810,8,30,62,765.4
812,8,32,60,769.95
814,8,34,58,774.61
816,8,36,56,779.41
818,8,38,54,784.33
820,8,40,52,789.39
822,8,42,50,794.59
824,8,44,48,799.94
826,8,46,46,805.45
828,8,48,44,811.11
830,8,50,42,816.94
832,8,52,40,822.95
834,8,54,38,829.14
836,8,56,36,835.52
838,8,58,34,842.09
840,8,60,32,848.88
842,8,62,30,855.88
844,8,64,28,863.11
846,8,66,26,870.58
848,8,68,24,878.3
850,8,70,22,886.28
852,8,72,20,894.54
854,8,74,18,903.09
856,8,76,16,911.94
858,8,78,14,921.1
860,8,80,12,930.61
862,8,82,10,940.46
864,8,84,8,950.69
866,8,86,6,961.32
868,8,88,4,972.35
870,8,90,2,983.82
872,8,92,0,995.76
965,10,0,90,701.62
967,10,2,88,704.73
969,10,4,86,707.9
971,10,6,84,711.15
973,10,8,82,714.47
975,10,10,80,717.86
977,10,12,78,721.34
979,10,14,76,724.9
981,10,16,74,728.54
983,10,18,72,732.28
985,10,20,70,736.1
987,10,22,68,740.02
989,10,24,66,744.04
991,10,26,64,748.16
993,10,28,62,752.38
995,10,30,60,756.72
997,10,32,58,761.17
999,10,34,56,765.74
1001,10,36,54,770.44
1003,10,38,52,775.26
1005,10,40,50,780.22
1007,10,42,48,785.32
1009,10,44,46,790.57
1011,10,46,44,795.96
1013,10,48,42,801.52
1015,10,50,40,807.24
1017,10,52,38,813.13
1019,10,54,36,819.2
1021,10,56,34,825.47
1023,10,58,32,831.92
1025,10,60,30,838.59
1027,10,62,28,845.47
1029,10,64,26,852.57
1031,10,66,24,859.91
1033,10,68,22,867.5
1035,10,70,20,875.35
1037,10,72,18,883.48
1039,10,74,16,891.88
1041,10,76,14,900.59
1043,10,78,12,909.62
1045,10,80,10,918.98
1047,10,82,8,928.69
1049,10,84,6,938.78
1051,10,86,4,949.25
1053,10,88,2,960.13
1055,10,90,0,971.46
1146,12,0,88,694.2
1148,12,2,86,697.23
1150,12,4,84,700.33
1152,12,6,82,703.5
1154,12,8,80,706.74
1156,12,10,78,710.06
1158,12,12,76,713.46
1160,12,14,74,716.94
1162,12,16,72,720.5
1164,12,18,70,724.15
1166,12,20,68,727.89
1168,12,22,66,731.72
1170,12,24,64,735.65
1172,12,26,62,739.68
1174,12,28,60,743.82
1176,12,30,58,748.06
1178,12,32,56,752.42
1180,12,34,54,756.9
1182,12,36,52,761.49
1184,12,38,50,766.22
1186,12,40,48,771.07
1188,12,42,46,776.07
1190,12,44,44,781.2
1192,12,46,42,786.49
1194,12,48,40,791.94
1196,12,50,38,797.55
1198,12,52,36,803.32
1200,12,54,34,809.28
1202,12,56,32,815.42
1204,12,58,30,821.76
1206,12,60,28,828.3
1208,12,62,26,835.05
1210,12,64,24,842.03
1212,12,66,22,849.24
1214,12,68,20,856.7
1216,12,70,18,864.41
1218,12,72,16,872.4
1220,12,74,14,880.67
1222,12,76,12,889.23
1224,12,78,10,898.12
1226,12,80,8,907.33
1228,12,82,6,916.9
1230,12,84,4,926.83
1232,12,86,2,937.15
