MnFeCoNiAl
increment: 10
strain_r: 0.001
temperature: 300
e: Mn-Co, Fe-Ni,Al
ratio:50.0:50.0,33.0:67.0,100
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,Ty0_tensile,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.472000000000005,2.85597089425,65.498,23.922,0.36899088705,0.0,0.0,0.0,nan
0.0,0.1,0.9,0.0,0.0,0.033,0.067,0.9,15.957133333333337,2.82589892302,73.1007,26.8945633333,0.359023738255,0.00474252260216,227.113095006,0.815851251353,26.797377448
0.0,0.2,0.8,0.0,0.0,0.067,0.133,0.8,15.442266666666669,2.79517293118,80.7034,29.8671266667,0.351040575491,0.00901643003883,377.753876401,1.07303776777,57.7413207451
0.0,0.3,0.7,0.0,0.0,0.1,0.2,0.7,14.927400000000002,2.76375615495,88.3061,32.83969,0.344502642991,0.0126892189199,511.369167497,1.26547548981,87.4280299099
0.0,0.4,0.6,0.0,0.0,0.133,0.267,0.6,14.412533333333336,2.73160840821,95.9088,35.8122533333,0.339050060705,0.0155970179469,629.440912279,1.41558648004,114.677353223
0.0,0.5,0.5,0.0,0.0,0.167,0.333,0.5,13.89766666666667,2.69868562845,103.5115,38.7848166667,0.33443327694,0.0175363889519,726.920333131,1.5265778071,137.596046475
0.0,0.6,0.4,0.0,0.0,0.2,0.4,0.4,13.3828,2.66493934333,111.1142,41.75738,0.330473798883,0.018253662777,794.345669595,1.59448760761,153.482648819
0.0,0.7,0.3,0.0,0.0,0.233,0.467,0.3,12.867933333333333,2.63031604002,118.7169,44.7299433333,0.327040581242,0.0174309527665,816.702990451,1.60895101722,158.457278849
0.0,0.8,0.2,0.0,0.0,0.267,0.533,0.2,12.353066666666667,2.59475641512,126.3196,47.7025066667,0.324035242872,0.0146676448915,769.378520347,1.54816836149,146.618730311
0.0,0.9,0.1,0.0,0.0,0.3,0.6,0.1,11.8382,2.55819447651,133.9223,50.67507,0.321382486497,0.00945566154784,605.13400266,1.35616147622,107.710915816
0.0,1.0,0.0,0.0,0.0,0.333,0.667,0.0,11.323333333333336,2.52055645997,141.525,53.6476333333,0.319023703438,0.00114605269555,155.801765749,0.677233662998,14.0831758828
0.1,0.0,0.9,0.05,0.05,0.0,0.0,0.9,16.010800000000003,2.82906337771,89.0347,33.1388,0.343360351008,0.00384072920314,231.823652507,0.918043092236,31.0155737454
